"hep-th/9108002",,"A. Mikovic","Hamiltonian construction of W-gravity actions","9 pages","Phys.Lett.B278:51-55,1992","10.1016/0370-2693(92)90710-L",,"hep-th",,"  We show that all W-gravity actions can be easilly constructed and understood
from the point of view of the Hamiltonian formalism for the constrained
systems. This formalism also gives a method of constructing gauge invariant
actions for arbitrary conformally extended algebras.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1991 16:35:28 GMT""}]","2009-01-16"
"hep-th/9108003","Katri Huitu","Katri Huitu and Dennis Nemeschansky","Supersymmetric Gelfand-Dickey Algebra","13 pages","Mod. Phys. Lett. A6 (1991) 3179-3190","10.1142/S0217732391003675",,"hep-th",,"  We study the classical version of supersymmetric $W$-algebras. Using the
second Gelfand-Dickey Hamiltonian structure we work out in detail $W_2$ and
$W_3$-algebras.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1991 17:12:38 GMT""}]","2015-06-26"
